         CN num,      gen-CN num,  0.1280,  0.1277,  0.0694,  0.1276, -1.6378,  0.0797,  0.1157, -1.6412
         CN num,      surface CN,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num,           CN-Ni,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num, mean CN of NN Ni,  0.1343,  0.1328,  0.1868,  0.0016, -1.7719,  0.1855,  0.0020, -1.7614
         CN num, rms CN of NN Ni,  0.1343,  0.1328,  0.1869,  0.0015, -1.7718,  0.1856,  0.0019, -1.7614
         CN num, sub surface Ni num,  0.1293,  0.1282,  0.1789,  0.0513, -1.7254,  0.1780,  0.0500, -1.7147
         CN num,             BOO,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num,  Pt bond length,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num,    surface curv,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num,      chemSROP11,  0.1343,  0.1330,  0.1880,  0.0607, -1.7709,  0.1871,  0.0465, -1.7606
         CN num,      chemSROP12,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7612
         CN num,      chemSROP22,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num,       gCN-Ni-Ni,  0.1341,  0.1326,  0.1866,  0.0217, -1.7671,  0.1856,  0.0234, -1.7571
         CN num,       gCN-Ni-Pt,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1865,  0.0053, -1.7600
         CN num,       gCN-Pt-Ni,  0.1334,  0.1320,  0.1829,  0.0390, -1.7636,  0.1817,  0.0395, -1.7523
         CN num,       gCN-Pt-Pt,  0.1345,  0.1331,  0.1879,  0.0002, -1.7707,  0.1871,  0.0000, -1.7611
         CN num,        gCN-Ni-X,  0.1345,  0.1329,  0.1871,  0.0046, -1.7691,  0.1858,  0.0070, -1.7584
         CN num,        gCN-Pt-X,  0.1344,  0.1331,  0.1832,  0.0064, -1.7666,  0.1845,  0.0035, -1.7589
         CN num,           CN-Pt,  0.1344,  0.1331,  0.1841,  0.0047, -1.7716,  0.1854,  0.0021, -1.7615
         CN num,  exp neg strain,  0.1184,  0.1165,  0.1896,  1.1103, -2.8859,  0.1882,  1.1417, -2.9022
         CN num,          strain,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
         CN num,  inverse strain,  0.1345,  0.1331,  0.1880,  0.0000, -1.7708,  0.1871,  0.0000, -1.7611
     gen-CN num,      surface CN,  0.1298,  0.1298,  0.1946,  0.0071, -1.5426,  0.1916,  0.0104, -1.5351
     gen-CN num,           CN-Ni,  0.1301,  0.1305,  0.1973,  0.0000, -1.5285,  0.1955,  0.0000, -1.5141
     gen-CN num, mean CN of NN Ni,  0.1300,  0.1303,  0.1963,  0.0013, -1.5305,  0.1941,  0.0016, -1.5157
     gen-CN num, rms CN of NN Ni,  0.1300,  0.1303,  0.1963,  0.0012, -1.5305,  0.1941,  0.0015, -1.5158
     gen-CN num, sub surface Ni num,  0.1264,  0.1268,  0.1888,  0.0430, -1.4972,  0.1868,  0.0428, -1.4817
     gen-CN num,             BOO,  0.1301,  0.1305,  0.1973,  0.0000, -1.5285,  0.1955,  0.0000, -1.5141
